"date" "interval" "steps" "wday"
"1" "2012-10-01" "0" 2 "weekday"
"2" "2012-10-02" "0" 0 "weekday"
"3" "2012-10-03" "0" 0 "weekday"
"4" "2012-10-04" "0" 47 "weekday"
"5" "2012-10-05" "0" 0 "weekday"
"6" "2012-10-06" "0" 0 "weekend"
"7" "2012-10-07" "0" 0 "weekend"
"8" "2012-10-08" "0" 2 "weekday"
"9" "2012-10-09" "0" 0 "weekday"
"10" "2012-10-10" "0" 34 "weekday"
"11" "2012-10-11" "0" 0 "weekday"
"12" "2012-10-12" "0" 0 "weekday"
"13" "2012-10-13" "0" 0 "weekend"
"14" "2012-10-14" "0" 0 "weekend"
"15" "2012-10-15" "0" 0 "weekday"
"16" "2012-10-16" "0" 0 "weekday"
"17" "2012-10-17" "0" 0 "weekday"
"18" "2012-10-18" "0" 0 "weekday"
"19" "2012-10-19" "0" 0 "weekday"
"20" "2012-10-20" "0" 0 "weekend"
"21" "2012-10-21" "0" 0 "weekend"
"22" "2012-10-22" "0" 10 "weekday"
"23" "2012-10-23" "0" 0 "weekday"
"24" "2012-10-24" "0" 0 "weekday"
"25" "2012-10-25" "0" 0 "weekday"
"26" "2012-10-26" "0" 0 "weekday"
"27" "2012-10-27" "0" 0 "weekend"
"28" "2012-10-28" "0" 0 "weekend"
"29" "2012-10-29" "0" 0 "weekday"
"30" "2012-10-30" "0" 0 "weekday"
"31" "2012-10-31" "0" 0 "weekday"
"32" "2012-11-01" "0" 2 "weekday"
"33" "2012-11-02" "0" 0 "weekday"
"34" "2012-11-03" "0" 0 "weekend"
"35" "2012-11-04" "0" 2 "weekend"
"36" "2012-11-05" "0" 0 "weekday"
"37" "2012-11-06" "0" 0 "weekday"
"38" "2012-11-07" "0" 0 "weekday"
"39" "2012-11-08" "0" 0 "weekday"
"40" "2012-11-09" "0" 2 "weekday"
"41" "2012-11-10" "0" 2 "weekend"
"42" "2012-11-11" "0" 0 "weekend"
"43" "2012-11-12" "0" 0 "weekday"
"44" "2012-11-13" "0" 0 "weekday"
"45" "2012-11-14" "0" 2 "weekday"
"46" "2012-11-15" "0" 0 "weekday"
"47" "2012-11-16" "0" 0 "weekday"
"48" "2012-11-17" "0" 0 "weekend"
"49" "2012-11-18" "0" 0 "weekend"
"50" "2012-11-19" "0" 0 "weekday"
"51" "2012-11-20" "0" 0 "weekday"
"52" "2012-11-21" "0" 0 "weekday"
"53" "2012-11-22" "0" 0 "weekday"
"54" "2012-11-23" "0" 0 "weekday"
"55" "2012-11-24" "0" 0 "weekend"
